10000	R-HSA-1266738	Developmental Biology
10000	R-HSA-162582	Signal Transduction
10000	R-HSA-1640170	Cell Cycle
10000	R-HSA-1643685	Disease
10000	R-HSA-168256	Immune System
10000	R-HSA-5357801	Programmed Cell Death
10000	R-HSA-5653656	Vesicle-mediated transport
10000	R-HSA-74160	Gene expression (Transcription)
10000	R-HSA-8953897	Cellular responses to stimuli
10001	R-HSA-1266738	Developmental Biology
10001	R-HSA-1430728	Metabolism
10001	R-HSA-400206	Regulation of lipid metabolism by PPARalpha
10001	R-HSA-556833	Metabolism of lipids
10001	R-HSA-74160	Gene expression (Transcription)
10002	R-HSA-74160	Gene expression (Transcription)
10003	R-HSA-1430728	Metabolism
10003	R-HSA-71291	Metabolism of amino acids and derivatives
100049587	R-HSA-168256	Immune System
10005	R-HSA-1430728	Metabolism
10005	R-HSA-192105	Synthesis of bile acids and bile salts
10005	R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
10005	R-HSA-194068	Bile acid and bile salt metabolism
10005	R-HSA-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism
10005	R-HSA-2046106	alpha-linolenic acid (ALA) metabolism
10005	R-HSA-389887	Beta-oxidation of pristanoyl-CoA
10005	R-HSA-390247	Beta-oxidation of very long chain fatty acids
10005	R-HSA-390918	Peroxisomal lipid metabolism
10005	R-HSA-556833	Metabolism of lipids
10005	R-HSA-8957322	Metabolism of steroids
10005	R-HSA-8978868	Fatty acid metabolism
10005	R-HSA-9609507	Protein localization
10006	R-HSA-162582	Signal Transduction
10006	R-HSA-1643685	Disease
10006	R-HSA-168256	Immune System
10007	R-HSA-1430728	Metabolism
10008	R-HSA-397014	Muscle contraction
10008	R-HSA-5576890	Phase 3 - rapid repolarisation
1000	R-HSA-1266738	Developmental Biology
1000	R-HSA-1500931	Cell-Cell communication
1000	R-HSA-392499	Metabolism of proteins
10010	R-HSA-168256	Immune System
100129543	R-HSA-74160	Gene expression (Transcription)
100129842	R-HSA-74160	Gene expression (Transcription)
100131187	R-HSA-1430728	Metabolism
100131187	R-HSA-1614517	Sulfide oxidation to sulfate
100131187	R-HSA-1614635	Sulfur amino acid metabolism
100131187	R-HSA-71291	Metabolism of amino acids and derivatives
100131439	R-HSA-168256	Immune System
100131439	R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
100131539	R-HSA-74160	Gene expression (Transcription)
100131827	R-HSA-74160	Gene expression (Transcription)
100131902	R-HSA-1266738	Developmental Biology
100131980	R-HSA-74160	Gene expression (Transcription)
100132285	R-HSA-168256	Immune System
100132285	R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
100132386	R-HSA-1266738	Developmental Biology
100133267	R-HSA-168256	Immune System
100133267	R-HSA-6803157	Antimicrobial peptides
100133941	R-HSA-1266738	Developmental Biology
100133941	R-HSA-422475	Axon guidance
100134934	R-HSA-1640170	Cell Cycle
100137049	R-HSA-1430728	Metabolism
100137049	R-HSA-1483206	Glycerophospholipid biosynthesis
100137049	R-HSA-1483257	Phospholipid metabolism
100137049	R-HSA-556833	Metabolism of lipids
100137049	R-HSA-8953897	Cellular responses to stimuli
10013	R-HSA-162582	Signal Transduction
10013	R-HSA-1643685	Disease
10013	R-HSA-1852241	Organelle biogenesis and maintenance
10013	R-HSA-74160	Gene expression (Transcription)
10013	R-HSA-8953897	Cellular responses to stimuli
10013	R-HSA-9612973	Autophagy
10014	R-HSA-162582	Signal Transduction
10014	R-HSA-1643685	Disease
10014	R-HSA-74160	Gene expression (Transcription)
10015	R-HSA-1643685	Disease
10015	R-HSA-5357801	Programmed Cell Death
100188893	R-HSA-9609507	Protein localization
100188893	R-HSA-9612973	Autophagy
10018	R-HSA-162582	Signal Transduction
10018	R-HSA-1643685	Disease
10018	R-HSA-168256	Immune System
10018	R-HSA-5357801	Programmed Cell Death
10018	R-HSA-74160	Gene expression (Transcription)
10019	R-HSA-109582	Hemostasis
10019	R-HSA-162582	Signal Transduction
10019	R-HSA-168256	Immune System
1001	R-HSA-1500931	Cell-Cell communication
10020	R-HSA-1643685	Disease
10020	R-HSA-392499	Metabolism of proteins
10020	R-HSA-4085001	Sialic acid metabolism
10020	R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein
10021	R-HSA-112316	Neuronal System
10022	R-HSA-162582	Signal Transduction
10022	R-HSA-375276	Peptide ligand-binding receptors
10023	R-HSA-162582	Signal Transduction
10025	R-HSA-1266738	Developmental Biology
10025	R-HSA-1430728	Metabolism
10025	R-HSA-400206	Regulation of lipid metabolism by PPARalpha
10025	R-HSA-556833	Metabolism of lipids
10025	R-HSA-74160	Gene expression (Transcription)
10026	R-HSA-392499	Metabolism of proteins
100271715	R-HSA-162582	Signal Transduction
100271849	R-HSA-1266738	Developmental Biology
100272147	R-HSA-9609507	Protein localization
100287144	R-HSA-392499	Metabolism of proteins
100287178	R-HSA-392499	Metabolism of proteins
100287205	R-HSA-392499	Metabolism of proteins
100287226	R-HSA-74160	Gene expression (Transcription)
100287238	R-HSA-392499	Metabolism of proteins
100287327	R-HSA-392499	Metabolism of proteins
100287364	R-HSA-392499	Metabolism of proteins
100287404	R-HSA-392499	Metabolism of proteins
100287441	R-HSA-392499	Metabolism of proteins
100287478	R-HSA-392499	Metabolism of proteins
100287513	R-HSA-392499	Metabolism of proteins
100287932	R-HSA-9609507	Protein localization
100288323	R-HSA-1266738	Developmental Biology
100289462	R-HSA-168256	Immune System
100289462	R-HSA-6803157	Antimicrobial peptides
100289635	R-HSA-74160	Gene expression (Transcription)
100293534	R-HSA-168256	Immune System
1002	R-HSA-1266738	Developmental Biology
1002	R-HSA-1500931	Cell-Cell communication
100302652	R-HSA-168256	Immune System
100302652	R-HSA-392499	Metabolism of proteins
100302736	R-HSA-168256	Immune System
100302736	R-HSA-392499	Metabolism of proteins
100302736	R-HSA-5357801	Programmed Cell Death
100302736	R-HSA-5653656	Vesicle-mediated transport
10038	R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway
10038	R-HSA-5696398	Nucleotide Excision Repair
10038	R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)
10038	R-HSA-73894	DNA Repair
1003	R-HSA-1500931	Cell-Cell communication
1003	R-HSA-162582	Signal Transduction
10043	R-HSA-168256	Immune System
10046	R-HSA-1266738	Developmental Biology
10046	R-HSA-162582	Signal Transduction
10046	R-HSA-1643685	Disease
10046	R-HSA-74160	Gene expression (Transcription)
10048	R-HSA-1266738	Developmental Biology
10048	R-HSA-162582	Signal Transduction
10048	R-HSA-422475	Axon guidance
10049	R-HSA-8953897	Cellular responses to stimuli
1004	R-HSA-1500931	Cell-Cell communication
100505724	R-HSA-1266738	Developmental Biology
100505753	R-HSA-1266738	Developmental Biology
100506658	R-HSA-5357801	Programmed Cell Death
100506658	R-HSA-74160	Gene expression (Transcription)
100507436	R-HSA-168256	Immune System
100507436	R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
100507608	R-HSA-1266738	Developmental Biology
10051	R-HSA-1640170	Cell Cycle
100526737	R-HSA-74160	Gene expression (Transcription)
100526739	R-HSA-162582	Signal Transduction
100526739	R-HSA-1640170	Cell Cycle
100526739	R-HSA-2467813	Separation of Sister Chromatids
100526739	R-HSA-2500257	Resolution of Sister Chromatid Cohesion
100526739	R-HSA-73894	DNA Repair
100526767	R-HSA-1640170	Cell Cycle
100526767	R-HSA-1643685	Disease
100526767	R-HSA-5357801	Programmed Cell Death
100526767	R-HSA-5653656	Vesicle-mediated transport
100526767	R-HSA-9612973	Autophagy
100526773	R-HSA-168256	Immune System
100526773	R-HSA-6803157	Antimicrobial peptides
100526794	R-HSA-1430728	Metabolism
100526794	R-HSA-15869	Metabolism of nucleotides
100526794	R-HSA-8956319	Nucleotide catabolism
100527963	R-HSA-162582	Signal Transduction
100527963	R-HSA-1640170	Cell Cycle
100527963	R-HSA-2467813	Separation of Sister Chromatids
100527963	R-HSA-2500257	Resolution of Sister Chromatid Cohesion
100528030	R-HSA-392499	Metabolism of proteins
100528032	R-HSA-168256	Immune System
100528032	R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
100529261	R-HSA-162582	Signal Transduction
100529261	R-HSA-1643685	Disease
100529261	R-HSA-9709957	Sensory Perception
10052	R-HSA-112316	Neuronal System
10052	R-HSA-5653656	Vesicle-mediated transport
